ID,CELL_ID,AXIS_ORDINATE_ID
82,3153037_REF,FINREP_REF_F_06_01_REF_FINREP 2_9_2_030
83,2786808_REF,FINREP_REF_F_20_03_REF_FINREP 2_8_1_009
84,2741219_REF,FINREP_REF_F_07_01_REF_FINREP 2_8_3_260
85,2740048_REF,FINREP_REF_F_07_01_REF_FINREP 2_8_2_020
86,2740376_REF,FINREP_REF_F_07_02_REF_FINREP 2_8_2_050
87,2739983_REF,FINREP_REF_F_20_03_REF_FINREP 2_8_1_020
88,3152622_REF,FINREP_REF_F_04_10_REF_FINREP 2_9_2_020
89,2740086_REF,FINREP_REF_F_07_01_REF_FINREP 2_8_3_090
90,2786706_REF,FINREP_REF_F_20_01_REF_FINREP 2_8_1_009
91,2739709_REF,FINREP_REF_F_08_02_REF_FINREP 2_8_2_030
92,2740234_REF,FINREP_REF_F_07_01_REF_FINREP 2_8_2_090
93,2786757_REF,FINREP_REF_F_20_02_REF_FINREP 2_8_1_009
94,3152428_REF,FINREP_REF_F_04_09_REF_FINREP 2_9_1_030
95,2740252_REF,FINREP_REF_F_07_02_REF_FINREP 2_8_2_010
96,2740039_REF,FINREP_REF_F_07_01_REF_FINREP 2_8_3_160
97,3152560_REF,FINREP_REF_F_04_10_REF_FINREP 2_9_1_070
98,2740293_REF,FINREP_REF_F_07_02_REF_FINREP 2_8_3_260
99,2740965_REF,FINREP_REF_F_20_04_REF_FINREP 2_8_2_050
100,3151934_REF,FINREP_REF_F_04_09_REF_FINREP 2_9_1_010
101,2760039_REF,FINREP_REF_F_20_01_REF_FINREP 2_8_2_174
102,2740314_REF,FINREP_REF_F_07_02_REF_FINREP 2_8_3_200
103,2739856_REF,FINREP_REF_F_30_02_REF_FINREP 2_8_1_010
104,2739962_REF,FINREP_REF_F_20_03_REF_FINREP 2_8_1_020
105,3153094_REF,FINREP_REF_F_06_01_REF_FINREP 2_9_2_010
106,3153089_REF,FINREP_REF_F_06_01_REF_FINREP 2_9_1_012
107,2739990_REF,FINREP_REF_F_03_00_REF_FINREP 2_8_1_010
108,2760085_REF,FINREP_REF_F_05_01_REF_FINREP 2_8_2_010
109,3153217_REF,FINREP_REF_F_04_09_REF_FINREP 2_9_2_050
110,3152605_REF,FINREP_REF_F_04_10_REF_FINREP 2_9_2_040
111,2786706_REF,FINREP_REF_F_20_01_REF_FINREP 2_8_2_097
112,2739778_REF,FINREP_REF_F_20_04_REF_FINREP 2_8_2_010
113,2740336_REF,FINREP_REF_F_07_02_REF_FINREP 2_8_2_040
114,3152519_REF,FINREP_REF_F_04_09_REF_FINREP 2_9_2_080
115,3152287_REF,FINREP_REF_F_04_08_REF_FINREP 2_9_1_040
116,3152823_REF,FINREP_REF_F_04_10_REF_FINREP 2_9_2_180
117,3151820_REF,FINREP_REF_F_22_01_REF_FINREP 2_9_2_170
118,3152290_REF,FINREP_REF_F_04_08_REF_FINREP 2_9_2_080
119,3153292_REF,FINREP_REF_F_02_00_REF_FINREP 2_9_1_010
120,2740960_REF,FINREP_REF_F_20_03_REF_FINREP 2_8_1_020
121,2741216_REF,FINREP_REF_F_07_01_REF_FINREP 2_8_3_230
122,3151833_REF,FINREP_REF_F_13_01_REF_FINREP 2_9_2_010
123,3153059_REF,FINREP_REF_F_06_01_REF_FINREP 2_9_1_011
124,3153230_REF,FINREP_REF_F_04_10_REF_FINREP 2_9_1_016
125,3153318_REF,FINREP_REF_F_02_00_REF_FINREP 2_9_1_010
126,3151422_REF,FINREP_REF_F_04_08_REF_FINREP 2_9_1_010
127,2760168_REF,FINREP_REF_F_05_01_REF_FINREP 2_8_2_060
