AXIS_ID,CODE,ORIENTATION,ORDER,NAME,DESCRIPTION,TABLE_ID,IS_OPEN_AXIS
AE_REF_F_36_01_a_REF_AE 3_2_1,,X,,F_36.01.a_REF_1,,AE_REF_F_36_01_a_REF_AE 3_2,
AE_REF_F_36_01_a_REF_AE 3_2_2,,Y,,F_36.01.a_REF_2,,AE_REF_F_36_01_a_REF_AE 3_2,
AE_REF_F_36_01_b_REF_AE 3_2_1,,X,,F_36.01.b_REF_1,,AE_REF_F_36_01_b_REF_AE 3_2,
AE_REF_F_36_01_b_REF_AE 3_2_2,,Y,,F_36.01.b_REF_2,,AE_REF_F_36_01_b_REF_AE 3_2,
AE_REF_F_36_01_c_REF_AE 3_2_1,,X,,F_36.01.c_REF_1,,AE_REF_F_36_01_c_REF_AE 3_2,
AE_REF_F_36_01_c_REF_AE 3_2_2,,Y,,F_36.01.c_REF_2,,AE_REF_F_36_01_c_REF_AE 3_2,
AE_REF_F_36_02_a_REF_AE 3_2_1,,X,,F_36.02.a_REF_1,,AE_REF_F_36_02_a_REF_AE 3_2,
AE_REF_F_36_02_a_REF_AE 3_2_2,,Y,,F_36.02.a_REF_2,,AE_REF_F_36_02_a_REF_AE 3_2,
AE_REF_F_36_02_b_REF_AE 3_2_1,,X,,F_36.02.b_REF_1,,AE_REF_F_36_02_b_REF_AE 3_2,
AE_REF_F_36_02_b_REF_AE 3_2_2,,Y,,F_36.02.b_REF_2,,AE_REF_F_36_02_b_REF_AE 3_2,
AE_REF_F_36_02_c_REF_AE 3_2_1,,X,,F_36.02.c_REF_1,,AE_REF_F_36_02_c_REF_AE 3_2,
AE_REF_F_36_02_c_REF_AE 3_2_2,,Y,,F_36.02.c_REF_2,,AE_REF_F_36_02_c_REF_AE 3_2,
EBA_AE_EBA_A_00_01_AE_2014-03_1,,X,,EBA_AE_EBA_A_00.01_AE_2014-03_1,,EBA_AE_EBA_A_00_01_AE_2014-03,
EBA_AE_EBA_A_00_01_AE_2014-03_2,,Y,,EBA_AE_EBA_A_00.01_AE_2014-03_2,,EBA_AE_EBA_A_00_01_AE_2014-03,
EBA_AE_EBA_A_00_01_AE_3_2_1,,X,,EBA_AE_EBA_A_00.01_AE_3.2_1,,EBA_AE_EBA_A_00_01_AE_3_2,
EBA_AE_EBA_A_00_01_AE_3_2_2,,Y,,EBA_AE_EBA_A_00.01_AE_3.2_2,,EBA_AE_EBA_A_00_01_AE_3_2,
EBA_AE_EBA_F_32_01_AE_2014-03_1,,X,,EBA_AE_EBA_F_32.01_AE_2014-03_1,,EBA_AE_EBA_F_32_01_AE_2014-03,
EBA_AE_EBA_F_32_01_AE_2014-03_2,,Y,,EBA_AE_EBA_F_32.01_AE_2014-03_2,,EBA_AE_EBA_F_32_01_AE_2014-03,
EBA_AE_EBA_F_32_01_AE_3_0_1,,X,,EBA_AE_EBA_F_32.01_AE_3.0_1,,EBA_AE_EBA_F_32_01_AE_3_0,
EBA_AE_EBA_F_32_01_AE_3_0_2,,Y,,EBA_AE_EBA_F_32.01_AE_3.0_2,,EBA_AE_EBA_F_32_01_AE_3_0,
EBA_AE_EBA_F_32_01_AE_3_2_1,,X,,EBA_AE_EBA_F_32.01_AE_3.2_1,,EBA_AE_EBA_F_32_01_AE_3_2,
EBA_AE_EBA_F_32_01_AE_3_2_2,,Y,,EBA_AE_EBA_F_32.01_AE_3.2_2,,EBA_AE_EBA_F_32_01_AE_3_2,
EBA_AE_EBA_F_32_02_a_AE_2014-03_1,,X,,EBA_AE_EBA_F_32.02.a_AE_2014-03_1,,EBA_AE_EBA_F_32_02_a_AE_2014-03,
EBA_AE_EBA_F_32_02_a_AE_2014-03_2,,Y,,EBA_AE_EBA_F_32.02.a_AE_2014-03_2,,EBA_AE_EBA_F_32_02_a_AE_2014-03,
EBA_AE_EBA_F_32_02_a_AE_3_0_1,,X,,EBA_AE_EBA_F_32.02.a_AE_3.0_1,,EBA_AE_EBA_F_32_02_a_AE_3_0,
EBA_AE_EBA_F_32_02_a_AE_3_0_2,,Y,,EBA_AE_EBA_F_32.02.a_AE_3.0_2,,EBA_AE_EBA_F_32_02_a_AE_3_0,
EBA_AE_EBA_F_32_02_a_AE_3_2_1,,X,,EBA_AE_EBA_F_32.02.a_AE_3.2_1,,EBA_AE_EBA_F_32_02_a_AE_3_2,
EBA_AE_EBA_F_32_02_a_AE_3_2_2,,Y,,EBA_AE_EBA_F_32.02.a_AE_3.2_2,,EBA_AE_EBA_F_32_02_a_AE_3_2,
EBA_AE_EBA_F_32_02_b_AE_2014-03_1,,X,,EBA_AE_EBA_F_32.02.b_AE_2014-03_1,,EBA_AE_EBA_F_32_02_b_AE_2014-03,
EBA_AE_EBA_F_32_02_b_AE_2014-03_2,,Y,,EBA_AE_EBA_F_32.02.b_AE_2014-03_2,,EBA_AE_EBA_F_32_02_b_AE_2014-03,
EBA_AE_EBA_F_32_02_b_AE_3_0_1,,X,,EBA_AE_EBA_F_32.02.b_AE_3.0_1,,EBA_AE_EBA_F_32_02_b_AE_3_0,
EBA_AE_EBA_F_32_02_b_AE_3_0_2,,Y,,EBA_AE_EBA_F_32.02.b_AE_3.0_2,,EBA_AE_EBA_F_32_02_b_AE_3_0,
EBA_AE_EBA_F_32_02_b_AE_3_2_1,,X,,EBA_AE_EBA_F_32.02.b_AE_3.2_1,,EBA_AE_EBA_F_32_02_b_AE_3_2,
EBA_AE_EBA_F_32_02_b_AE_3_2_2,,Y,,EBA_AE_EBA_F_32.02.b_AE_3.2_2,,EBA_AE_EBA_F_32_02_b_AE_3_2,
EBA_AE_EBA_F_32_03_a_AE_2014-03_1,,X,,EBA_AE_EBA_F_32.03.a_AE_2014-03_1,,EBA_AE_EBA_F_32_03_a_AE_2014-03,
EBA_AE_EBA_F_32_03_a_AE_2014-03_2,,Y,,EBA_AE_EBA_F_32.03.a_AE_2014-03_2,,EBA_AE_EBA_F_32_03_a_AE_2014-03,
EBA_AE_EBA_F_32_03_a_AE_3_0_1,,X,,EBA_AE_EBA_F_32.03.a_AE_3.0_1,,EBA_AE_EBA_F_32_03_a_AE_3_0,
EBA_AE_EBA_F_32_03_a_AE_3_0_2,,Y,,EBA_AE_EBA_F_32.03.a_AE_3.0_2,,EBA_AE_EBA_F_32_03_a_AE_3_0,
EBA_AE_EBA_F_32_03_a_AE_3_2_1,,X,,EBA_AE_EBA_F_32.03.a_AE_3.2_1,,EBA_AE_EBA_F_32_03_a_AE_3_2,
EBA_AE_EBA_F_32_03_a_AE_3_2_2,,Y,,EBA_AE_EBA_F_32.03.a_AE_3.2_2,,EBA_AE_EBA_F_32_03_a_AE_3_2,
EBA_AE_EBA_F_32_03_b_AE_2014-03_1,,X,,EBA_AE_EBA_F_32.03.b_AE_2014-03_1,,EBA_AE_EBA_F_32_03_b_AE_2014-03,
EBA_AE_EBA_F_32_03_b_AE_2014-03_2,,Y,,EBA_AE_EBA_F_32.03.b_AE_2014-03_2,,EBA_AE_EBA_F_32_03_b_AE_2014-03,
EBA_AE_EBA_F_32_03_b_AE_3_0_1,,X,,EBA_AE_EBA_F_32.03.b_AE_3.0_1,,EBA_AE_EBA_F_32_03_b_AE_3_0,
EBA_AE_EBA_F_32_03_b_AE_3_0_2,,Y,,EBA_AE_EBA_F_32.03.b_AE_3.0_2,,EBA_AE_EBA_F_32_03_b_AE_3_0,
EBA_AE_EBA_F_32_03_b_AE_3_2_1,,X,,EBA_AE_EBA_F_32.03.b_AE_3.2_1,,EBA_AE_EBA_F_32_03_b_AE_3_2,
EBA_AE_EBA_F_32_03_b_AE_3_2_2,,Y,,EBA_AE_EBA_F_32.03.b_AE_3.2_2,,EBA_AE_EBA_F_32_03_b_AE_3_2,
EBA_AE_EBA_F_32_04_a_AE_2014-03_1,,X,,EBA_AE_EBA_F_32.04.a_AE_2014-03_1,,EBA_AE_EBA_F_32_04_a_AE_2014-03,
EBA_AE_EBA_F_32_04_a_AE_2014-03_2,,Y,,EBA_AE_EBA_F_32.04.a_AE_2014-03_2,,EBA_AE_EBA_F_32_04_a_AE_2014-03,
EBA_AE_EBA_F_32_04_a_AE_3_0_1_1,,X,,EBA_AE_EBA_F_32.04.a_AE_3.0.1_1,,EBA_AE_EBA_F_32_04_a_AE_3_0_1,
EBA_AE_EBA_F_32_04_a_AE_3_0_1_2,,Y,,EBA_AE_EBA_F_32.04.a_AE_3.0.1_2,,EBA_AE_EBA_F_32_04_a_AE_3_0_1,
EBA_AE_EBA_F_32_04_a_AE_3_2_1,,X,,EBA_AE_EBA_F_32.04.a_AE_3.2_1,,EBA_AE_EBA_F_32_04_a_AE_3_2,
EBA_AE_EBA_F_32_04_a_AE_3_2_2,,Y,,EBA_AE_EBA_F_32.04.a_AE_3.2_2,,EBA_AE_EBA_F_32_04_a_AE_3_2,
EBA_AE_EBA_F_32_04_b_AE_2014-07_1,,X,,EBA_AE_EBA_F_32.04.b_AE_2014-07_1,,EBA_AE_EBA_F_32_04_b_AE_2014-07,
EBA_AE_EBA_F_32_04_b_AE_2014-07_2,,Y,,EBA_AE_EBA_F_32.04.b_AE_2014-07_2,,EBA_AE_EBA_F_32_04_b_AE_2014-07,
EBA_AE_EBA_F_32_04_b_AE_2_8_1,,X,,EBA_AE_EBA_F_32.04.b_AE_2.8_1,,EBA_AE_EBA_F_32_04_b_AE_2_8,
EBA_AE_EBA_F_32_04_b_AE_2_8_2,,Y,,EBA_AE_EBA_F_32.04.b_AE_2.8_2,,EBA_AE_EBA_F_32_04_b_AE_2_8,
EBA_AE_EBA_F_32_04_b_AE_3_0_1_1,,X,,EBA_AE_EBA_F_32.04.b_AE_3.0.1_1,,EBA_AE_EBA_F_32_04_b_AE_3_0_1,
EBA_AE_EBA_F_32_04_b_AE_3_0_1_2,,Y,,EBA_AE_EBA_F_32.04.b_AE_3.0.1_2,,EBA_AE_EBA_F_32_04_b_AE_3_0_1,
EBA_AE_EBA_F_32_04_b_AE_3_2_1,,X,,EBA_AE_EBA_F_32.04.b_AE_3.2_1,,EBA_AE_EBA_F_32_04_b_AE_3_2,
EBA_AE_EBA_F_32_04_b_AE_3_2_2,,Y,,EBA_AE_EBA_F_32.04.b_AE_3.2_2,,EBA_AE_EBA_F_32_04_b_AE_3_2,
EBA_AE_EBA_F_33_00_a_AE_2014-03_1,,X,,EBA_AE_EBA_F_33.00.a_AE_2014-03_1,,EBA_AE_EBA_F_33_00_a_AE_2014-03,
EBA_AE_EBA_F_33_00_a_AE_2014-03_2,,Y,,EBA_AE_EBA_F_33.00.a_AE_2014-03_2,,EBA_AE_EBA_F_33_00_a_AE_2014-03,
EBA_AE_EBA_F_33_00_a_AE_3_2_1,,X,,EBA_AE_EBA_F_33.00.a_AE_3.2_1,,EBA_AE_EBA_F_33_00_a_AE_3_2,
EBA_AE_EBA_F_33_00_a_AE_3_2_2,,Y,,EBA_AE_EBA_F_33.00.a_AE_3.2_2,,EBA_AE_EBA_F_33_00_a_AE_3_2,
EBA_AE_EBA_F_33_00_b_AE_2014-03_1,,X,,EBA_AE_EBA_F_33.00.b_AE_2014-03_1,,EBA_AE_EBA_F_33_00_b_AE_2014-03,
EBA_AE_EBA_F_33_00_b_AE_2014-03_2,,Y,,EBA_AE_EBA_F_33.00.b_AE_2014-03_2,,EBA_AE_EBA_F_33_00_b_AE_2014-03,
EBA_AE_EBA_F_33_00_b_AE_3_2_1,,X,,EBA_AE_EBA_F_33.00.b_AE_3.2_1,,EBA_AE_EBA_F_33_00_b_AE_3_2,
EBA_AE_EBA_F_33_00_b_AE_3_2_2,,Y,,EBA_AE_EBA_F_33.00.b_AE_3.2_2,,EBA_AE_EBA_F_33_00_b_AE_3_2,
EBA_AE_EBA_F_34_00_a_AE_2014-03_1,,X,,EBA_AE_EBA_F_34.00.a_AE_2014-03_1,,EBA_AE_EBA_F_34_00_a_AE_2014-03,
EBA_AE_EBA_F_34_00_a_AE_2014-03_2,,Y,,EBA_AE_EBA_F_34.00.a_AE_2014-03_2,,EBA_AE_EBA_F_34_00_a_AE_2014-03,
EBA_AE_EBA_F_34_00_a_AE_3_0_1,,X,,EBA_AE_EBA_F_34.00.a_AE_3.0_1,,EBA_AE_EBA_F_34_00_a_AE_3_0,
EBA_AE_EBA_F_34_00_a_AE_3_0_2,,Y,,EBA_AE_EBA_F_34.00.a_AE_3.0_2,,EBA_AE_EBA_F_34_00_a_AE_3_0,
EBA_AE_EBA_F_34_00_a_AE_3_2_1,,X,,EBA_AE_EBA_F_34.00.a_AE_3.2_1,,EBA_AE_EBA_F_34_00_a_AE_3_2,
EBA_AE_EBA_F_34_00_a_AE_3_2_2,,Y,,EBA_AE_EBA_F_34.00.a_AE_3.2_2,,EBA_AE_EBA_F_34_00_a_AE_3_2,
EBA_AE_EBA_F_34_00_b_AE_2014-03_1,,X,,EBA_AE_EBA_F_34.00.b_AE_2014-03_1,,EBA_AE_EBA_F_34_00_b_AE_2014-03,
EBA_AE_EBA_F_34_00_b_AE_2014-03_2,,Y,,EBA_AE_EBA_F_34.00.b_AE_2014-03_2,,EBA_AE_EBA_F_34_00_b_AE_2014-03,
EBA_AE_EBA_F_34_00_b_AE_3_0_1,,X,,EBA_AE_EBA_F_34.00.b_AE_3.0_1,,EBA_AE_EBA_F_34_00_b_AE_3_0,
EBA_AE_EBA_F_34_00_b_AE_3_0_2,,Y,,EBA_AE_EBA_F_34.00.b_AE_3.0_2,,EBA_AE_EBA_F_34_00_b_AE_3_0,
EBA_AE_EBA_F_34_00_b_AE_3_2_1,,X,,EBA_AE_EBA_F_34.00.b_AE_3.2_1,,EBA_AE_EBA_F_34_00_b_AE_3_2,
EBA_AE_EBA_F_34_00_b_AE_3_2_2,,Y,,EBA_AE_EBA_F_34.00.b_AE_3.2_2,,EBA_AE_EBA_F_34_00_b_AE_3_2,
EBA_AE_EBA_F_34_00_c_AE_2016-A_1,,X,,EBA_AE_EBA_F_34.00.c_AE_2016-A_1,,EBA_AE_EBA_F_34_00_c_AE_2016-A,
EBA_AE_EBA_F_34_00_c_AE_2016-A_2,,Y,,EBA_AE_EBA_F_34.00.c_AE_2016-A_2,,EBA_AE_EBA_F_34_00_c_AE_2016-A,
EBA_AE_EBA_F_34_00_c_AE_2016-A_3,,Z,,EBA_AE_EBA_F_34.00.c_AE_2016-A_3,,EBA_AE_EBA_F_34_00_c_AE_2016-A,
EBA_AE_EBA_F_34_00_c_AE_2017-A_1,,X,,EBA_AE_EBA_F_34.00.c_AE_2017-A_1,,EBA_AE_EBA_F_34_00_c_AE_2017-A,
EBA_AE_EBA_F_34_00_c_AE_2017-A_2,,Y,,EBA_AE_EBA_F_34.00.c_AE_2017-A_2,,EBA_AE_EBA_F_34_00_c_AE_2017-A,
EBA_AE_EBA_F_34_00_c_AE_2017-A_3,,Z,,EBA_AE_EBA_F_34.00.c_AE_2017-A_3,,EBA_AE_EBA_F_34_00_c_AE_2017-A,
EBA_AE_EBA_F_34_00_c_AE_3_0_1,,X,,EBA_AE_EBA_F_34.00.c_AE_3.0_1,,EBA_AE_EBA_F_34_00_c_AE_3_0,
EBA_AE_EBA_F_34_00_c_AE_3_0_2,,Y,,EBA_AE_EBA_F_34.00.c_AE_3.0_2,,EBA_AE_EBA_F_34_00_c_AE_3_0,
EBA_AE_EBA_F_34_00_c_AE_3_0_3,,Z,,EBA_AE_EBA_F_34.00.c_AE_3.0_3,,EBA_AE_EBA_F_34_00_c_AE_3_0,
EBA_AE_EBA_F_34_00_c_AE_3_2_1,,X,,EBA_AE_EBA_F_34.00.c_AE_3.2_1,,EBA_AE_EBA_F_34_00_c_AE_3_2,
EBA_AE_EBA_F_34_00_c_AE_3_2_2,,Y,,EBA_AE_EBA_F_34.00.c_AE_3.2_2,,EBA_AE_EBA_F_34_00_c_AE_3_2,
EBA_AE_EBA_F_34_00_c_AE_3_2_3,,Z,,EBA_AE_EBA_F_34.00.c_AE_3.2_3,,EBA_AE_EBA_F_34_00_c_AE_3_2,
EBA_AE_EBA_F_35_00_a_AE_2014-03_1,,X,,EBA_AE_EBA_F_35.00.a_AE_2014-03_1,,EBA_AE_EBA_F_35_00_a_AE_2014-03,
EBA_AE_EBA_F_35_00_a_AE_2014-03_2,,Y,,EBA_AE_EBA_F_35.00.a_AE_2014-03_2,,EBA_AE_EBA_F_35_00_a_AE_2014-03,
EBA_AE_EBA_F_35_00_a_AE_2014-03_3,,Z,,EBA_AE_EBA_F_35.00.a_AE_2014-03_3,,EBA_AE_EBA_F_35_00_a_AE_2014-03,
EBA_AE_EBA_F_35_00_a_AE_3_2_1,,X,,EBA_AE_EBA_F_35.00.a_AE_3.2_1,,EBA_AE_EBA_F_35_00_a_AE_3_2,
EBA_AE_EBA_F_35_00_a_AE_3_2_2,,Y,,EBA_AE_EBA_F_35.00.a_AE_3.2_2,,EBA_AE_EBA_F_35_00_a_AE_3_2,
EBA_AE_EBA_F_35_00_a_AE_3_2_3,,Z,,EBA_AE_EBA_F_35.00.a_AE_3.2_3,,EBA_AE_EBA_F_35_00_a_AE_3_2,
EBA_AE_EBA_F_35_00_b_AE_2014-03_1,,X,,EBA_AE_EBA_F_35.00.b_AE_2014-03_1,,EBA_AE_EBA_F_35_00_b_AE_2014-03,
EBA_AE_EBA_F_35_00_b_AE_2014-03_2,,Y,,EBA_AE_EBA_F_35.00.b_AE_2014-03_2,,EBA_AE_EBA_F_35_00_b_AE_2014-03,
EBA_AE_EBA_F_35_00_b_AE_2014-03_3,,Z,,EBA_AE_EBA_F_35.00.b_AE_2014-03_3,,EBA_AE_EBA_F_35_00_b_AE_2014-03,
EBA_AE_EBA_F_35_00_b_AE_3_2_1,,X,,EBA_AE_EBA_F_35.00.b_AE_3.2_1,,EBA_AE_EBA_F_35_00_b_AE_3_2,
EBA_AE_EBA_F_35_00_b_AE_3_2_2,,Y,,EBA_AE_EBA_F_35.00.b_AE_3.2_2,,EBA_AE_EBA_F_35_00_b_AE_3_2,
EBA_AE_EBA_F_35_00_b_AE_3_2_3,,Z,,EBA_AE_EBA_F_35.00.b_AE_3.2_3,,EBA_AE_EBA_F_35_00_b_AE_3_2,
EBA_AE_EBA_F_35_00_c_AE_2016-A_1,,X,,EBA_AE_EBA_F_35.00.c_AE_2016-A_1,,EBA_AE_EBA_F_35_00_c_AE_2016-A,
EBA_AE_EBA_F_35_00_c_AE_2016-A_2,,Y,,EBA_AE_EBA_F_35.00.c_AE_2016-A_2,,EBA_AE_EBA_F_35_00_c_AE_2016-A,
EBA_AE_EBA_F_35_00_c_AE_2016-A_3,,Z,,EBA_AE_EBA_F_35.00.c_AE_2016-A_3,,EBA_AE_EBA_F_35_00_c_AE_2016-A,
EBA_AE_EBA_F_35_00_c_AE_3_2_1,,X,,EBA_AE_EBA_F_35.00.c_AE_3.2_1,,EBA_AE_EBA_F_35_00_c_AE_3_2,
EBA_AE_EBA_F_35_00_c_AE_3_2_2,,Y,,EBA_AE_EBA_F_35.00.c_AE_3.2_2,,EBA_AE_EBA_F_35_00_c_AE_3_2,
