ID,MEMBER_HIERARCHY_ID,MEMBER_ID,LEVEL,PARENT_MEMBER_ID,COMPARATOR,OPERATOR,VALID_FROM,VALID_TO
23633,EBA_ZZ_ZZ1005,EBA_ZZ_ECB6_x6076,2,EBA_ZZ_EBA_x0,,,,
23634,EBA_ZZ_ZZ1005,EBA_ZZ_ECB6_x1073,2,EBA_ZZ_EBA_x0,,+,,
23635,EBA_ZZ_ZZ1005,EBA_ZZ_ECB6_x1071,2,EBA_ZZ_EBA_x0,,+,,
23636,EBA_ZZ_ZZ1005,EBA_ZZ_ECB6_x6072,2,EBA_ZZ_EBA_x0,,,,
23637,EBA_ZZ_ZZ1005,EBA_ZZ_ECB6_x1083,2,EBA_ZZ_EBA_x0,,+,,
23638,EBA_ZZ_ZZ1005,EBA_ZZ_ECB6_x6080,2,EBA_ZZ_EBA_x0,,,,
23639,EBA_ZZ_ZZ1036,EBA_ZZ_ECB6_x6419,2,EBA_ZZ_EBA_x0,,,,
23640,EBA_ZZ_ZZ1036,EBA_ZZ_ECB6_x6420,2,EBA_ZZ_EBA_x0,,,,
23641,EBA_ZZ_ZZ1005,EBA_ZZ_ECB6_x1079,2,EBA_ZZ_EBA_x0,,+,,
23642,EBA_ZZ_ZZ1005,EBA_ZZ_ECB6_x6078,2,EBA_ZZ_EBA_x0,,,,
23643,EBA_ZZ_ZZ1005,EBA_ZZ_ECB6_x1106,3,EBA_ZZ_ECB6_x1072,,+,,
23644,EBA_ZZ_ZZ1005,EBA_ZZ_ECB6_x6119,3,EBA_ZZ_ECB6_x6073,,,,
23645,EBA_ZZ_ZZ1005,EBA_ZZ_ECB6_x1122,3,EBA_ZZ_ECB6_x1074,,+,,
23646,EBA_ZZ_ZZ1005,EBA_ZZ_ECB6_x1159,3,EBA_ZZ_ECB6_x1083,,+,,
23647,EBA_ZZ_ZZ1005,EBA_ZZ_ECB6_x6134,3,EBA_ZZ_ECB6_x6075,,,,
23648,EBA_ZZ_ZZ1005,EBA_ZZ_ECB6_x6110,3,EBA_ZZ_ECB6_x6073,,,,
23649,EBA_ZZ_ZZ1005,EBA_ZZ_ECB6_x1139,3,EBA_ZZ_ECB6_x1077,,+,,
23650,EBA_ZZ_ZZ1005,EBA_ZZ_ECB6_x6160,3,EBA_ZZ_ECB6_x6083,,,,
23651,EBA_ZZ_ZZ1005,EBA_ZZ_ECB6_x6136,3,EBA_ZZ_ECB6_x6076,,,,
23652,EBA_ZZ_ZZ1005,EBA_ZZ_ECB6_x6141,3,EBA_ZZ_ECB6_x6077,,,,
23653,EBA_ZZ_ZZ1005,EBA_ZZ_ECB6_x1120,3,EBA_ZZ_ECB6_x1073,,+,,
23654,EBA_ZZ_ZZ1005,EBA_ZZ_ECB6_x1136,3,EBA_ZZ_ECB6_x1076,,+,,
23655,EBA_ZZ_ZZ1005,EBA_ZZ_ECB6_x1160,3,EBA_ZZ_ECB6_x1083,,+,,
23656,EBA_ZZ_ZZ1005,EBA_ZZ_ECB6_x6120,3,EBA_ZZ_ECB6_x6073,,,,
23657,EBA_ZZ_ZZ1005,EBA_ZZ_ECB6_x1141,3,EBA_ZZ_ECB6_x1077,,+,,
23658,EBA_ZZ_ZZ1005,EBA_ZZ_ECB6_x6122,3,EBA_ZZ_ECB6_x6074,,,,
23659,EBA_ZZ_ZZ1005,EBA_ZZ_ECB6_x1119,3,EBA_ZZ_ECB6_x1073,,+,,
23660,EBA_ZZ_ZZ1005,EBA_ZZ_ECB6_x6106,3,EBA_ZZ_ECB6_x6072,,,,
23661,EBA_ZZ_ZZ1005,EBA_ZZ_ECB6_x6139,3,EBA_ZZ_ECB6_x6077,,,,
23662,EBA_ZZ_ZZ1005,EBA_ZZ_ECB6_x1110,3,EBA_ZZ_ECB6_x1073,,+,,
23663,EBA_ZZ_ZZ1005,EBA_ZZ_ECB6_x1134,3,EBA_ZZ_ECB6_x1075,,+,,
23664,EBA_ZZ_ZZ1005,EBA_ZZ_ECB6_x6159,3,EBA_ZZ_ECB6_x6083,,,,
23665,EBA_ZZ_ZZ1005,EBA_ZZ_ECB6_x6138,3,EBA_ZZ_ECB6_x6077,,,,
23666,EBA_ZZ_ZZ1005,EBA_ZZ_ECB6_x1111,3,EBA_ZZ_ECB6_x1073,,+,,
23667,EBA_ZZ_ZZ1005,EBA_ZZ_ECB6_x6158,2,EBA_ZZ_ECB6_x6083,,,,
23668,EBA_ZZ_ZZ1005,EBA_ZZ_ECB6_x6123,3,EBA_ZZ_ECB6_x6074,,,,
23669,EBA_ZZ_ZZ1005,EBA_ZZ_ECB6_x1118,3,EBA_ZZ_ECB6_x1073,,+,,
23670,EBA_ZZ_ZZ1005,EBA_ZZ_ECB6_x6107,3,EBA_ZZ_ECB6_x6072,,,,
23671,EBA_ZZ_ZZ1005,EBA_ZZ_ECB6_x6121,3,EBA_ZZ_ECB6_x6073,,,,
23672,EBA_ZZ_ZZ1005,EBA_ZZ_ECB6_x1140,3,EBA_ZZ_ECB6_x1077,,+,,
23673,EBA_ZZ_ZZ1005,EBA_ZZ_ECB6_x1137,3,EBA_ZZ_ECB6_x1076,,+,,
23674,EBA_ZZ_ZZ1005,EBA_ZZ_ECB6_x6140,3,EBA_ZZ_ECB6_x6077,,,,
23675,EBA_ZZ_ZZ1005,EBA_ZZ_ECB6_x1121,3,EBA_ZZ_ECB6_x1073,,+,,
23676,EBA_ZZ_ZZ1005,EBA_ZZ_ECB6_x6137,3,EBA_ZZ_ECB6_x6076,,,,
23677,EBA_ZZ_ZZ1005,EBA_ZZ_ECB6_x1158,2,EBA_ZZ_ECB6_x1083,,+,,
23678,EBA_ZZ_ZZ1005,EBA_ZZ_ECB6_x6111,3,EBA_ZZ_ECB6_x6073,,,,
23679,EBA_ZZ_ZZ1005,EBA_ZZ_ECB6_x1138,3,EBA_ZZ_ECB6_x1077,,+,,
23680,EBA_ZZ_ZZ1005,EBA_ZZ_ECB6_x1107,3,EBA_ZZ_ECB6_x1072,,+,,
23681,EBA_ZZ_ZZ1005,EBA_ZZ_ECB6_x6118,3,EBA_ZZ_ECB6_x6073,,,,
23682,EBA_ZZ_ZZ1005,EBA_ZZ_ECB6_x1123,3,EBA_ZZ_ECB6_x1074,,+,,
23683,EBA_ZZ_ZZ1005,EBA_ZZ_ECB6_x6113,3,EBA_ZZ_ECB6_x6073,,,,
23684,EBA_ZZ_ZZ1005,EBA_ZZ_ECB6_x1105,3,EBA_ZZ_ECB6_x1072,,+,,
23685,EBA_ZZ_ZZ1005,EBA_ZZ_ECB6_x6149,3,EBA_ZZ_ECB6_x6078,,,,
23686,EBA_ZZ_ZZ1005,EBA_ZZ_ECB6_x6142,3,EBA_ZZ_ECB6_x6077,,,,
23687,EBA_ZZ_ZZ1005,EBA_ZZ_ECB6_x6150,3,EBA_ZZ_ECB6_x6078,,,,
23688,EBA_ZZ_ZZ1005,EBA_ZZ_ECB6_x6135,3,EBA_ZZ_ECB6_x6076,,,,
23689,EBA_ZZ_ZZ1005,EBA_ZZ_ECB6_x1142,3,EBA_ZZ_ECB6_x1077,,+,,
23690,EBA_ZZ_ZZ1005,EBA_ZZ_ECB6_x1135,3,EBA_ZZ_ECB6_x1076,,+,,
23691,EBA_ZZ_ZZ1005,EBA_ZZ_ECB6_x1150,3,EBA_ZZ_ECB6_x1078,,+,,
23692,EBA_ZZ_ZZ1005,EBA_ZZ_ECB6_x1113,3,EBA_ZZ_ECB6_x1073,,+,,
23693,EBA_ZZ_ZZ1005,EBA_ZZ_ECB6_x1149,3,EBA_ZZ_ECB6_x1078,,+,,
23694,EBA_ZZ_ZZ1005,EBA_ZZ_ECB6_x6105,3,EBA_ZZ_ECB6_x6072,,,,
23695,EBA_ZZ_ZZ1005,EBA_ZZ_ECB6_x1148,3,EBA_ZZ_ECB6_x1078,,+,,
23696,EBA_ZZ_ZZ1005,EBA_ZZ_ECB6_x6104,3,EBA_ZZ_ECB6_x6072,,,,
23697,EBA_ZZ_ZZ1005,EBA_ZZ_ECB6_x1112,3,EBA_ZZ_ECB6_x1073,,+,,
23698,EBA_ZZ_ZZ1005,EBA_ZZ_ECB6_x6099,3,EBA_ZZ_ECB6_x6071,,,,
23699,EBA_ZZ_ZZ1005,EBA_ZZ_ECB6_x1143,3,EBA_ZZ_ECB6_x1077,,+,,
23700,EBA_ZZ_ZZ1005,EBA_ZZ_ECB6_x1099,3,EBA_ZZ_ECB6_x1071,,+,,
23701,EBA_ZZ_ZZ1005,EBA_ZZ_ECB6_x6143,3,EBA_ZZ_ECB6_x6077,,,,
23702,EBA_ZZ_ZZ1005,EBA_ZZ_ECB6_x1104,3,EBA_ZZ_ECB6_x1072,,+,,
23703,EBA_ZZ_ZZ1005,EBA_ZZ_ECB6_x6148,3,EBA_ZZ_ECB6_x6078,,,,
23704,EBA_ZZ_ZZ1005,EBA_ZZ_ECB6_x6112,3,EBA_ZZ_ECB6_x6073,,,,
23705,EBA_ZZ_ZZ1005,EBA_ZZ_ECB6_x1154,3,EBA_ZZ_ECB6_x1080,,+,,
23706,EBA_ZZ_ZZ1005,EBA_ZZ_ECB6_x1102,3,EBA_ZZ_ECB6_x1071,,+,,
23707,EBA_ZZ_ZZ1005,EBA_ZZ_ECB6_x1153,3,EBA_ZZ_ECB6_x1079,,+,,
23708,EBA_ZZ_ZZ1005,EBA_ZZ_ECB6_x1124,3,EBA_ZZ_ECB6_x1074,,+,,
23709,EBA_ZZ_ZZ1005,EBA_ZZ_ECB6_x6132,3,EBA_ZZ_ECB6_x6075,,,,
23710,EBA_ZZ_ZZ1005,EBA_ZZ_ECB6_x1109,3,EBA_ZZ_ECB6_x1072,,+,,
23711,EBA_ZZ_ZZ1005,EBA_ZZ_ECB6_x6145,2,EBA_ZZ_ECB6_x6078,,,,
23712,EBA_ZZ_ZZ1005,EBA_ZZ_ECB6_x6116,3,EBA_ZZ_ECB6_x6073,,,,
23713,EBA_ZZ_ZZ1005,EBA_ZZ_ECB6_x6124,3,EBA_ZZ_ECB6_x6074,,,,
23714,EBA_ZZ_ZZ1005,EBA_ZZ_ECB6_x6153,3,EBA_ZZ_ECB6_x6079,,,,
23715,EBA_ZZ_ZZ1005,EBA_ZZ_ECB6_x1116,3,EBA_ZZ_ECB6_x1073,,+,,
23716,EBA_ZZ_ZZ1005,EBA_ZZ_ECB6_x1145,2,EBA_ZZ_ECB6_x1078,,+,,
23717,EBA_ZZ_ZZ1005,EBA_ZZ_ECB6_x6109,3,EBA_ZZ_ECB6_x6072,,,,
23718,EBA_ZZ_ZZ1005,EBA_ZZ_ECB6_x1132,3,EBA_ZZ_ECB6_x1075,,+,,
23719,EBA_ZZ_ZZ1005,EBA_ZZ_ECB6_x6102,3,EBA_ZZ_ECB6_x6071,,,,
23720,EBA_ZZ_ZZ1005,EBA_ZZ_ECB6_x6154,3,EBA_ZZ_ECB6_x6080,,,,
23721,EBA_ZZ_ZZ1005,EBA_ZZ_ECB6_x6103,3,EBA_ZZ_ECB6_x6071,,,,
23722,EBA_ZZ_ZZ1005,EBA_ZZ_ECB6_x6155,3,EBA_ZZ_ECB6_x6080,,,,
23723,EBA_ZZ_ZZ1005,EBA_ZZ_ECB6_x1117,3,EBA_ZZ_ECB6_x1073,,+,,
23724,EBA_ZZ_ZZ1005,EBA_ZZ_ECB6_x6108,3,EBA_ZZ_ECB6_x6072,,,,
23725,EBA_ZZ_ZZ1005,EBA_ZZ_ECB6_x1133,3,EBA_ZZ_ECB6_x1075,,+,,
23726,EBA_ZZ_ZZ1005,EBA_ZZ_ECB6_x6125,3,EBA_ZZ_ECB6_x6074,,,,
23727,EBA_ZZ_ZZ1005,EBA_ZZ_ECB6_x6152,3,EBA_ZZ_ECB6_x6079,,,,
23728,EBA_ZZ_ZZ1005,EBA_ZZ_ECB6_x6133,3,EBA_ZZ_ECB6_x6075,,,,
23729,EBA_ZZ_ZZ1005,EBA_ZZ_ECB6_x1108,3,EBA_ZZ_ECB6_x1072,,+,,
23730,EBA_ZZ_ZZ1005,EBA_ZZ_ECB6_x6117,3,EBA_ZZ_ECB6_x6073,,,,
23731,EBA_ZZ_ZZ1005,EBA_ZZ_ECB6_x1152,3,EBA_ZZ_ECB6_x1079,,+,,
