MAINTENANCE_AGENCY_ID,CUBE_ID,NAME,CODE,FRAMEWORK_ID,CUBE_STRUCTURE_ID,CUBE_TYPE,IS_ALLOWED,VALID_FROM,VALID_TO,VERSION,DESCRIPTION,PUBLISHED,DATASET_URL,FILTERS,DI_EXPORT
,DBT_SCRTY_ISSD_HDG,DBT_SCRTY_ISSD_HDG,,BIRD_EIL,DBT_SCRTY_ISSD_HDG,,,,,,,,,,
,DBT_SCRTY_ISSD_PRTCN_ARRNGMNT_GVN_ASSGNMNT,DBT_SCRTY_ISSD_PRTCN_ARRNGMNT_GVN_ASSGNMNT,,BIRD_EIL,DBT_SCRTY_ISSD_PRTCN_ARRNGMNT_GVN_ASSGNMNT,,,,,,,,,,
,DBT_SCRTY_ISSD_TRDTNL_SCRTSTN_ASSGNMNT,DBT_SCRTY_ISSD_TRDTNL_SCRTSTN_ASSGNMNT,,BIRD_EIL,DBT_SCRTY_ISSD_TRDTNL_SCRTSTN_ASSGNMNT,,,,,,,,,,
,DOMAIN,DOMAIN,,BIRD_EIL,DOMAIN,,,,,,,,,,
,DPMProcessExecution,DPMProcessExecution,,BIRD_EIL,DPMProcessExecution,,,,,,,,,,
,DataConstraint,DataConstraint,,BIRD_EIL,DataConstraint,,,,,,,,,,
,DataFlowEdge,DataFlowEdge,,BIRD_EIL,DataFlowEdge,,,,,,,,,,
,DatabaseColumnValue,DatabaseColumnValue,,BIRD_EIL,DatabaseColumnValue,,,,,,,,,,
,DatabaseField,DatabaseField,,BIRD_EIL,DatabaseField,,,,,,,,,,
,DatabaseRow,DatabaseRow,,BIRD_EIL,DatabaseRow,,,,,,,,,,
,DatabaseTable,DatabaseTable,,BIRD_EIL,DatabaseTable,,,,,,,,,,
,DerivedRowSourceReference,DerivedRowSourceReference,,BIRD_EIL,DerivedRowSourceReference,,,,,,,,,,
,DerivedTable,DerivedTable,,BIRD_EIL,DerivedTable,,,,,,,,,,
,DerivedTableRow,DerivedTableRow,,BIRD_EIL,DerivedTableRow,,,,,,,,,,
,ENTTY_RL,ENTTY_RL,,BIRD_EIL,ENTTY_RL,,,,,,,,,,
,EQT_INSTRMNT_NT_SCRT_HDG,EQT_INSTRMNT_NT_SCRT_HDG,,BIRD_EIL,EQT_INSTRMNT_NT_SCRT_HDG,,,,,,,,,,
,ETD_LBLTY_PSTN_SNTHTC_SCRTSTN_ASSGNMNT,ETD_LBLTY_PSTN_SNTHTC_SCRTSTN_ASSGNMNT,,BIRD_EIL,ETD_LBLTY_PSTN_SNTHTC_SCRTSTN_ASSGNMNT,,,,,,,,,,
,EXCHNG_TRDBL_DRVTV_PSTN,EXCHNG_TRDBL_DRVTV_PSTN,,BIRD_EIL,EXCHNG_TRDBL_DRVTV_PSTN,,,,,,,,,,
,EXCHNG_TRDBL_DRVTV_PSTN_PRTCN_ARRNGMNT_ASSGNMNT,EXCHNG_TRDBL_DRVTV_PSTN_PRTCN_ARRNGMNT_ASSGNMNT,,BIRD_EIL,EXCHNG_TRDBL_DRVTV_PSTN_PRTCN_ARRNGMNT_ASSGNMNT,,,,,,,,,,
,EXCHNG_TRDBL_DRVTV_PSTN_RL,EXCHNG_TRDBL_DRVTV_PSTN_RL,,BIRD_EIL,EXCHNG_TRDBL_DRVTV_PSTN_RL,,,,,,,,,,
,EvaluatedDerivedTable,EvaluatedDerivedTable,,BIRD_EIL,EvaluatedDerivedTable,,,,,,,,,,
,EvaluatedFunction,EvaluatedFunction,,BIRD_EIL,EvaluatedFunction,,,,,,,,,,
,EvaluatedFunctionSourceValue,EvaluatedFunctionSourceValue,,BIRD_EIL,EvaluatedFunctionSourceValue,,,,,,,,,,
,ExclusiveGateway,ExclusiveGateway,,BIRD_EIL,ExclusiveGateway,,,,,,,,,,
,FACET_COLLECTION,FACET_COLLECTION,,BIRD_EIL,FACET_COLLECTION,,,,,,,,,,
,FNDMNTL_RVW_TRDNG_BK_STNDRD_APPRCH_RSK_MSR_ETD_PSTNS,FNDMNTL_RVW_TRDNG_BK_STNDRD_APPRCH_RSK_MSR_ETD_PSTNS,,BIRD_EIL,FNDMNTL_RVW_TRDNG_BK_STNDRD_APPRCH_RSK_MSR_ETD_PSTNS,,,,,,,,,,
