ID,CUBE_STRUCTURE_ID,CUBE_VARIABLE_CODE,VARIABLE_ID,ROLE,ORDER,SUBDOMAIN_ID,VARIABLE_SET_ID,MEMBER_ID,DIMENSION_TYPE,ATTRIBUTE_ASSOCIATED_VARIABLE,IS_FLOW,IS_MANDATORY,DESCRIPTION,IS_IMPLEMENTED,IS_IDENTIFIER
2994,ANCRDT_INSTRMNT_C_1,CMMTMNT_INCPTN,CMMTMNT_INCPTN,O,17,MNTRY_NN_NGTV_2D,,,,,,,,,
2995,ANCRDT_JNT_LBLTS_C_1,ENTTY_RIAD_CD,ENTTY_RIAD_CD,D,3,STRNG_RSTRCTD_ID_50,,,,,,,,,
2996,ANCRDT_FNNCL_C_1,NEVS_DT_DFLT_STTS,NEVS,A,106,NEVS_CLLCTN,,,,,,,,,
2997,ANCRDT_ENTTY_INSTRMNT_C_1,ENTTY_RL,ENTTY_RL,D,6,ENTTY_RL_ANCRDT,,,,,,,,,
2998,ANCRDT_ACCNTNG_C_1,DT_PRFRMNG_STTS,DT_PRFRMNG_STTS,O,14,DT_FLL_YYYY_MM_DD,,,,,,,,,
2999,ANCRDT_FNNCL_C_1,OFF_BLNC_SHT_AMNT,OFF_BLNC_SHT_AMNT,O,15,MNTRY_NN_NGTV_2D,,,,,,,,,
3000,ANCRDT_FNNCL_C_1,NEVS_ACCRD_INTRST,NEVS,A,112,NEVS_CLLCTN,,,,,,,,,
3001,ANCRDT_ENTTY_DFLT_C_1,DT_DFLT_STTS,DT_DFLT_STTS,O,6,DT_FLL_YYYY_MM_DD,,,,,,,,,
3002,ANCRDT_ENTTY_DFLT_C_1,ENTTY_RIAD_CD,ENTTY_RIAD_CD,D,3,STRNG_RSTRCTD_ID_50,,,,,,,,,
3003,ANCRDT_ACCNTNG_C_1,NEVS_CRRYNG_AMNT,NEVS,A,113,NEVS_CLLCTN,,,,,,,,,
3004,ANCRDT_FNNCL_C_1,OTSTNDNG_NMNL_AMNT,OTSTNDNG_NMNL_AMNT,O,13,MNTRY_NN_NGTV_2D,,,,,,,,,
3005,ANCRDT_ACCNTNG_C_1,NEVS_RCGNTN_STTS,NEVS,A,119,NEVS_CLLCTN_WTHT_NA,,,,,,,,,
3006,ANCRDT_ENTTY_RSK_C_1,OBSRVD_AGNT_CD,OBSRVD_AGNT_CD,D,1,STRNG_RSTRCTD_ID_50,,,,,,,,,
3007,ANCRDT_JNT_LBLTS_C_1,OBSRVD_AGNT_CD,OBSRVD_AGNT_CD,D,1,STRNG_RSTRCTD_ID_50,,,,,,,,,
3008,ANCRDT_PRTCTN_RCVD_C_1,RECL_PSTL_CD,RECL_PSTL_CD,O,12,STRNG_LTN_EXT_255,,,,,,,,,
3009,ANCRDT_PRTCTN_RCVD_C_1,DT_PRTCTN_VL,DT_PRTCTN_VL,O,13,DT_FLL_YYYY_MM_DD,,,,,,,,,
3010,ANCRDT_ENTTY_INSTRMNT_C_1,CNTRCT_ID,CNTRCT_ID,D,4,STRNG_RSTRCTD_ID_60,,,,,,,,,
3011,ANCRDT_FNNCL_C_1,NEVS_TRNSFRRD_AMNT,NEVS,A,110,NEVS_CLLCTN_WTHT_NA,,,,,,,,,
3012,ANCRDT_ACCNTNG_C_1,ACCNTNG_CLSSFCTN,ACCNTNG_CLSSFCTN,O,5,ACCNTNG_CLSSFCTN_ANCRDT_CLLCTN,,,,,,,,,
3013,ANCRDT_JNT_LBLTS_C_1,JNT_LBLTY_AMNT,JNT_LBLTY_AMNT,O,6,MNTRY_NN_NGTV_2D,,,,,,,,,
3014,ANCRDT_INSTRMNT_C_1,NEVS_DT_STTLMNT,NEVS,A,105,NEVS_CLLCTN,,,,,,,,,
3015,ANCRDT_ACCNTNG_C_1,NEVS_FRBRNC_STTS,NEVS,A,110,NEVS_CLLCTN_WTHT_NA,,,,,,,,,
3016,ANCRDT_ENTTY_C_1,ULTMT_PRNT_UNDRT_CD,ULTMT_PRNT_UNDRT_CD,O,24,STRNG_RSTRCTD_ID_50,,,,,,,,,
3017,ANCRDT_PRTCTN_RCVD_C_1,TYP_PRTCTN_VL,TYP_PRTCTN_VL,O,7,TYP_PRTCTN_VL_ANCRDT_CLLCTN,,,,,,,,,
3018,ANCRDT_INSTRMNT_C_1,NEVS_TYP_AMRTSTN,NEVS,A,125,NEVS_CLLCTN_WTHT_NA,,,,,,,,,
3019,ANCRDT_INSTRMNT_C_1,DT_LGL_FNL_MTRTY,DT_LGL_FNL_MTRTY,O,16,DT_FLL_YYYY_MM_DD,,,,,,,,,
3020,ANCRDT_ENTTY_DFLT_C_1,OBSRVD_AGNT_CD,OBSRVD_AGNT_CD,D,1,STRNG_RSTRCTD_ID_50,,,,,,,,,
3021,ANCRDT_ACCNTNG_C_1,NEVS_PRDNTL_PRTFL,NEVS,A,118,NEVS_CLLCTN,,,,,,,,,
3022,ANCRDT_FNNCL_C_1,NEVS_ANNLSD_AGRD_RT,NEVS,A,114,NEVS_CLLCTN,,,,,,,,,
3023,ANCRDT_ENTTY_C_1,IMMDT_PRNT_UNDRT_CD,IMMDT_PRNT_UNDRT_CD,O,14,STRNG_RSTRCTD_ID_50,,,,,,,,,
3024,ANCRDT_ACCNTNG_C_1,NEVS_SRC_ENCMBRNC,NEVS,A,120,NEVS_CLLCTN_WTHT_NA,,,,,,,,,
3025,ANCRDT_INSTRMNT_C_1,NEVS_SBRDNTD_DBT,NEVS,A,123,NEVS_CLLCTN_WTHT_NA,,,,,,,,,
3026,ANCRDT_ENTTY_DFLT_C_1,NEVS_DFLT_STTS,NEVS,A,105,NEVS_CLLCTN_WTHT_NA,,,,,,,,,
3027,ANCRDT_ACCNTNG_C_1,NEVS_IMPRMNT_STTS,NEVS,A,106,NEVS_CLLCTN,,,,,,,,,
3028,ANCRDT_ACCNTNG_C_1,NEVS_PRFRMNG_STTS,NEVS,A,107,NEVS_CLLCTN,,,,,,,,,
3029,ANCRDT_ENTTY_C_1,DT_INTTN_LGL_PRCDNGS,DT_INTTN_LGL_PRCDNGS,O,9,DT_FLL_YYYYMMDD,,,,,,,,,
3030,ANCRDT_INSTRMNT_C_1,NEVS_RPYMNT_RGHTS,NEVS,A,122,NEVS_CLLCTN_WTHT_NA,,,,,,,,,
3031,ANCRDT_FNNCL_C_1,DT_NXT_INTRST_RT_RST,DT_NXT_INTRST_RT_RST,O,6,DT_FLL_YYYY_MM_DD,,,,,,,,,
3032,ANCRDT_PRTCTN_RCVD_C_1,OBSRVD_AGNT_CD,OBSRVD_AGNT_CD,D,1,STRNG_RSTRCTD_ID_50,,,,,,,,,
3033,ANCRDT_INSTRMNT_C_1,SYNDCTD_CNTRCT_ID,SYNDCTD_CNTRCT_ID,O,25,STRNG_RSTRCTD_ID_60,,,,,,,,,
3034,ANCRDT_INSTRMNT_C_1,NEVS_INTRST_RT_CP,NEVS,A,119,NEVS_CLLCTN,,,,,,,,,
3035,ANCRDT_INSTRMNT_C_1,NEVS_PYMNT_FRQNCY,NEVS,A,111,NEVS_CLLCTN_WTHT_NA,,,,,,,,,
3036,ANCRDT_ENTTY_INSTRMNT_C_1,INSTRMNT_ID,INSTRMNT_ID,D,5,STRNG_RSTRCTD_ID_60,,,,,,,,,
3037,ANCRDT_INSTRMNT_C_1,NEVS_TYP_INSTRMNT,NEVS,A,126,NEVS_CLLCTN_WTHT_NA,,,,,,,,,
3038,ANCRDT_PRTCTN_RCVD_C_1,NEVS_PRTCTN_VL,NEVS,A,112,NEVS_CLLCTN_WTHT_NA,,,,,,,,,
3039,ANCRDT_INSTRMNT_C_1,NEVS_PRJCT_FNNC_LN,NEVS,A,115,NEVS_CLLCTN_WTHT_NA,,,,,,,,,
3040,ANCRDT_ACCNTNG_C_1,NEVS_DT_FRBRNC_STTS,NEVS,A,108,NEVS_CLLCTN_WTHT_NA,,,,,,,,,
3041,ANCRDT_ACCNTNG_C_1,ACCMLTD_CHNGS_FV_CR,ACCMLTD_CHNGS_FV_CR,O,12,MNTRY_NN_NGTV_2D,,,,,,,,,
3042,ANCRDT_PRTCTN_RCVD_C_1,NEVS_RECL_CNTRY,NEVS,A,109,NEVS_CLLCTN,,,,,,,,,
3043,ANCRDT_PRTCTN_RCVD_C_1,ORGNL_PRTCTN_VL,ORGNL_PRTCTN_VL,O,15,MNTRY_NN_NGTV_2D,,,,,,,,,
3044,ANCRDT_ACCNTNG_C_1,NEVS_ACCMLTD_WRTFFS,NEVS,A,117,NEVS_CLLCTN_WTHT_NA,,,,,,,,,
3045,ANCRDT_INSTRMNT_C_1,NEVS_INTRST_RT_FLR,NEVS,A,121,NEVS_CLLCTN,,,,,,,,,
3046,ANCRDT_ENTTY_C_1,HD_OFFC_UNDRT_RIAD_CD,HD_OFFC_UNDRT_RIAD_CD,O,13,STRNG_RSTRCTD_ID_50,,,,,,,,,
3047,ANCRDT_INSTRMNT_C_1,NEVS_TYP_INTRST_RT,NEVS,A,127,NEVS_CLLCTN,,,,,,,,,
3048,ANCRDT_PRTCTN_RCVD_C_1,PRTCTN_PRVDR_CD,PRTCTN_PRVDR_CD,O,4,STRNG_RSTRCTD_ID_50,,,,,,,,,
3049,ANCRDT_INSTRMNT_C_1,NEVS_CRRNCY_DNMNTN,NEVS,A,112,NEVS_CLLCTN_WTHT_NA,,,,,,,,,
3050,ANCRDT_INSTRMNT_C_1,DT_END_INTRST_ONLY,DT_END_INTRST_ONLY,O,10,DT_FLL_YYYY_MM_DD,,,,,,,,,
3051,ANCRDT_PRTCTN_RCVD_C_1,DT_MTRTY_PRTCTN,DT_MTRTY_PRTCTN,O,14,DT_FLL_YYYY_MM_DD,,,,,,,,,
3052,ANCRDT_PRTCTN_RCVD_C_1,RECL_TRRTRL_UNT,RECL_TRRTRL_UNT,O,11,NUTS3_ANCRDT_CLLCTN,,,,,,,,,
3053,ANCRDT_PRTCTN_RCVD_C_1,NEVS_TYP_PRTCTN,NEVS,A,116,NEVS_CLLCTN_WTHT_NA,,,,,,,,,
3054,ANCRDT_ACCNTNG_C_1,PRVSNS_OFF_BLNC_SHT,PRVSNS_OFF_BLNC_SHT,O,15,MNTRY_NN_NGTV_2D,,,,,,,,,
3055,ANCRDT_ACCNTNG_C_1,NEVS_ACCMLTD_IMPRMNT,NEVS,A,116,NEVS_CLLCTN,,,,,,,,,
3056,ANCRDT_ACCNTNG_C_1,CMLTV_RCVRS_SNC_DFLT,CMLTV_RCVRS_SNC_DFLT,O,18,MNTRY_NN_NGTV_2D,,,,,,,,,
3057,ANCRDT_INSTRMNT_C_1,NEVS_INTRST_RT_SPRD,NEVS,A,120,NEVS_CLLCTN,,,,,,,,,
3058,ANCRDT_ENTTY_DFLT_C_1,NEVS_DT_DFLT_STTS,NEVS,A,106,NEVS_CLLCTN,,,,,,,,,
3059,ANCRDT_INSTRMNT_C_1,NEVS_CMMTMNT_INCPTN,NEVS,A,114,NEVS_CLLCTN,,,,,,,,,
3060,ANCRDT_ENTTY_INSTRMNT_C_1,ENTTY_RIAD_CD,ENTTY_RIAD_CD,D,3,STRNG_RSTRCTD_ID_50,,,,,,,,,
3061,ANCRDT_FNNCL_C_1,NEVS_OFF_BLNC_SHT_AMNT,NEVS,A,109,NEVS_CLLCTN,,,,,,,,,
3062,ANCRDT_ACCNTNG_C_1,NEVS_DT_PRFRMNG_STTS,NEVS,A,109,NEVS_CLLCTN_WTHT_NA,,,,,,,,,
3063,ANCRDT_INSTRMNT_PRTCTN_RCVD_C_1,DT_RFRNC,DT_RFRNC,D,2,DT_END_MNTH_YYYY_MM_DD,,,,,,,,,
3064,ANCRDT_ENTTY_INSTRMNT_C_1,OBSRVD_AGNT_CD,OBSRVD_AGNT_CD,D,1,STRNG_RSTRCTD_ID_50,,,,,,,,,
3065,ANCRDT_ACCNTNG_C_1,IMPRMNT_ASSSSMNT_MTHD,IMPRMNT_ASSSSMNT_MTHD,O,10,IMPRMNT_ASSSSMNT_MTHD_ANCRDT_CLLCTN,,,,,,,,,
3066,ANCRDT_PRTCTN_RCVD_C_1,NEVS_RECL_PSTL_CD,NEVS,A,111,NEVS_CLLCTN,,,,,,,,,
3067,ANCRDT_FNNCL_C_1,NEVS_OTSTNDNG_NMNL_AMNT,NEVS,A,113,NEVS_CLLCTN_WTHT_NA,,,,,,,,,
3068,ANCRDT_ACCNTNG_C_1,NEVS_ACCNTNG_CLSSFCTN,NEVS,A,105,NEVS_CLLCTN,,,,,,,,,
3069,ANCRDT_PRTCTN_RCVD_C_1,NEVS_DT_PRTCTN_VL,NEVS,A,105,NEVS_CLLCTN_WTHT_NA,,,,,,,,,
3070,ANCRDT_INSTRMNT_C_1,INTRST_RT_RST_FRQNCY,INTRST_RT_RST_FRQNCY,O,13,FRQNCY_INTRST_RT_RST_ANCRDT_CLLCTN,,,,,,,,,
3071,ANCRDT_JNT_LBLTS_C_1,NEVS_JNT_LBLTY_AMNT,NEVS,A,105,NEVS_CLLCTN_WTHT_NA,,,,,,,,,
3072,ANCRDT_INSTRMNT_C_1,FV_CHNG_CR_BFR_PRCHS,FV_CHNG_CR_BFR_PRCHS,O,27,MNTRY_NN_NGTV_2D,,,,,,,,,
3073,ANCRDT_INSTRMNT_C_1,NEVS_DT_LGL_FNL_MTRTY,NEVS,A,106,NEVS_CLLCTN,,,,,,,,,
3074,ANCRDT_PRTCTN_RCVD_C_1,PRTCTN_VLTN_APPRCH,PRTCTN_VLTN_APPRCH,O,8,PRTCTN_VLTN_APPRCH_ANCRDT_CLLCTN,,,,,,,,,
3075,ANCRDT_INSTRMNT_PRTCTN_RCVD_C_1,CNTRCT_ID,CNTRCT_ID,D,3,STRNG_RSTRCTD_ID_60,,,,,,,,,
3076,ANCRDT_PRTCTN_RCVD_C_1,DT_ORGNL_PRTCTN_VL,DT_ORGNL_PRTCTN_VL,O,16,DT_FLL_YYYY_MM_DD,,,,,,,,,
3077,ANCRDT_PRTCTN_RCVD_C_1,NEVS_TYP_PRTCTN_VL,NEVS,A,117,NEVS_CLLCTN_WTHT_NA,,,,,,,,,
3078,ANCRDT_INSTRMNT_PRTCTN_RCVD_C_1,PRTCTN_ID,PRTCTN_ID,D,5,STRNG_RSTRCTD_ID_60,,,,,,,,,
3079,ANCRDT_FNNCL_C_1,NEVS_DT_NXT_INTRST_RT_RST,NEVS,A,107,NEVS_CLLCTN,,,,,,,,,
3080,ANCRDT_INSTRMNT_C_1,NEVS_SYNDCTD_CNTRCT_ID,NEVS,A,124,NEVS_CLLCTN,,,,,,,,,
3081,ANCRDT_PRTCTN_RCVD_C_1,RL_ESTT_CLLTRL_LCTN,ECB5_RL_ESTT_CLLTRL_LCTN,O,9,STRNG_ID_20,,,,,,,,,
3082,ANCRDT_INSTRMNT_C_1,NEVS_DT_END_INTRST_ONLY,NEVS,A,108,NEVS_CLLCTN,,,,,,,,,
3083,ANCRDT_ACCNTNG_C_1,NEVS_PRVSNS_OFF_BLNC_SHT,NEVS,A,114,NEVS_CLLCTN,,,,,,,,,
